run_number	current	charge	trigger_id	livetime	trigger_counts	trigger_events	elist	Kinematic
1472	22.62	20980	DL.bit2	0.997501	14805	14768	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1472_0_5.root	11_pos
1473	22.62	12613.9	DL.bit2	0.998478	1971	1968	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1473_0_5.root	11
1474	22.62	7728.11	DL.bit2	0	1210	0	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1474_0_5.root	11
1475	22.62	13466.5	DL.bit2	0.996558	10749	10712	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1475_0_5.root	11
1476	22.62	25579.3	DL.bit2	0.99559	20634	20543	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1476_0_5.root	11
1477	22.62	41641.3	DL.bit2	0.998461	5199	5191	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1477_0_5.root	11
1478	22.62	35556.5	DL.bit2	0.999587	4845	4843	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1478_0_5.root	11
1479	22.62	30620.1	DL.bit2	0.999274	4131	4128	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1479_0_5.root	11
1480	22.62	494.043	DL.bit2	1	57	57	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1480_0_5.root	11
1481	22.38	16663.5	DL.bit2	0.998409	1257	1255	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1481_0_5.root	11
1498	22.62	5876.52	DL.bit2	0.997199	357	356	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1498_0_5.root	11
1500	4.62	182.968	DL.bit2	1	30	30	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1500_0_5.root	11
1503	22.38	39380.4	DL.bit2	0.998681	6824	6815	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1503_0_5.root	11
1504	22.38	41532.5	DL.bit2	0.999167	7200	7194	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1504_0_5.root	11
1517	22.12	12439.4	DL.bit2	0.999036	1037	1036	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1517_0_5.root	11
1518	21.88	8961.16	DL.bit2	1	649	649	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1518_0_5.root	11
